setup,spec,seed,query,scratch_reward,scratch_time_s,targeted_reward,exhaustive_reward,hybrid_reward,decomp_time,targeted_time,exhaustive_time,hybrid_time
path-gold,X10,0000,Find the fastest exit and collect as much gold as possible,104.8,108.22566270828248,110.81,110.81,110.81,5.358711,0.023692,10.194359,3.585729
path-gold,X10,0001,Find the fastest exit and collect as much gold as possible,119.8,116.86302304267883,133.79000000000002,133.79000000000002,133.79000000000002,5.358711,0.020235,10.107824,3.591411
path-gold,X10,0002,Find the fastest exit and collect as much gold as possible,108.78999999999999,112.06378197669984,122.78,122.78,122.78,5.358711,0.0207,9.97234,3.665686
path-gold,X10,0003,Find the fastest exit and collect as much gold as possible,102.77999999999999,108.4308226108551,123.79000000000002,123.79000000000002,123.79000000000002,5.358711,0.02042,10.349694,3.758555
path-gold,X10,0004,Find the fastest exit and collect as much gold as possible,103.78999999999999,117.75729942321776,127.78,127.78,127.78,5.358711,0.020878,10.294365,3.693009
path-gold-hazard,X10,0000,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",191.79999999999998,123.62281441688538,203.79999999999998,203.79999999999998,203.79999999999998,7.382391,0.025836,51.192182,10.918423
path-gold-hazard,X10,0001,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",216.91,130.39180445671082,228.57999999999998,228.57999999999998,228.57999999999998,7.382391,0.022107,51.187331,11.029591
path-gold-hazard,X10,0002,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",194.79999999999998,127.14089345932008,207.57999999999998,207.57999999999998,207.57999999999998,7.382391,0.022489,51.314504,11.111763
path-gold-hazard,X10,0003,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",190.69,124.72764372825624,215.69,215.69,215.69,7.382391,0.022765,51.676369,10.946079
path-gold-hazard,X10,0004,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",180.13,126.99996185302734,211.57999999999998,211.57999999999998,211.57999999999998,7.382391,0.022356,51.693942,11.110504
path-gold-hazard-lever,X10,0000,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",279.01,125.598539352417,295.59000000000003,295.59000000000003,295.59000000000003,11.721829,0.026328,259.430905,33.473812
path-gold-hazard-lever,X10,0001,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",235.01,130.60704159736633,302.8,302.8,302.8,11.721829,0.022383,258.509041,33.697072
path-gold-hazard-lever,X10,0002,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",287.01,126.06649851799013,299.59000000000003,299.59000000000003,299.59000000000003,11.721829,0.023088,259.912502,33.57267
path-gold-hazard-lever,X10,0003,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",246.47,123.1762158870697,293.8,293.8,293.8,11.721829,0.022558,261.616748,33.636805
path-gold-hazard-lever,X10,0004,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",278.43,125.552015542984,309.38,309.38,309.38,11.721829,0.02277,256.530848,33.768206
