setup,spec,seed,query,scratch_reward,scratch_time_s,targeted_reward,exhaustive_reward,hybrid_reward,decomp_time,targeted_time,exhaustive_time,hybrid_time
path-gold-hazard,X10,0000,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",191.79999999999998,123.62281441688538,175.90999999999997,173.01999999999998,175.90999999999997,10.889749,0.01183,12.89714,3.423495
path-gold-hazard,X10,0001,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",216.91,130.39180445671082,204.91,204.91,213.91,10.889749,0.009285,11.185974,3.454377
path-gold-hazard,X10,0002,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",194.79999999999998,127.14089345932008,181.79999999999998,172.13,187.91,10.889749,0.009266,22.648359,5.099544
path-gold-hazard,X10,0003,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",190.69,124.72764372825624,190.69,173.01999999999998,177.79999999999998,10.889749,0.009298,16.205869,6.797267
path-gold-hazard,X10,0004,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",180.13,126.99996185302734,164.01999999999998,170.13,169.01999999999998,10.889749,0.009355,15.208452,8.152113
path-gold-hazard-lever,X10,0000,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",279.01,125.598539352417,-256.84000000000003,197.01,194.01,17.353932,0.015888,14.585305,6.811785
path-gold-hazard-lever,X10,0001,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",235.01,130.60704159736633,225.01,219.21999999999997,232.01,17.353932,0.009174,9.469854,3.432858
path-gold-hazard-lever,X10,0002,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",287.01,126.06649851799013,199.22,190.42999999999998,206.79999999999998,17.353932,0.008934,15.807585,6.736847
path-gold-hazard-lever,X10,0003,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",-246.47,123.1762158870697,190.22,197.22,204.01,17.353932,0.009563,12.875931,3.432606
path-gold-hazard-lever,X10,0004,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",278.43,125.552015542984,263.43,268.43,263.43,17.353932,0.009251,11.652031,2.967095
