setup,spec,seed,query,scratch_reward,scratch_time_s,targeted_reward,exhaustive_reward,hybrid_reward,decomp_time,targeted_time,exhaustive_time,hybrid_time
path-gold-hazard,X5,0000,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",207.23999999999998,134.23235368728638,224.70999999999998,224.70999999999998,224.70999999999998,16.095963,0.354465,21.038227,7.43751
path-gold-hazard,X5,0001,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",212.53,130.30097913742063,223.82,223.82,223.82,16.095963,0.319162,20.806075,7.831455
path-gold-hazard,X5,0002,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",182.34999999999997,126.89708709716795,205.42,205.42,205.42,16.095963,0.32547,20.7882,7.466796
path-gold-hazard,X5,0003,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",203.14999999999998,130.0763852596283,203.14999999999998,203.14999999999998,203.14999999999998,16.095963,0.312572,20.897019,7.358699
path-gold-hazard,X5,0004,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",208.35,128.4733808040619,212.53,212.53,212.53,16.095963,0.319849,21.183955,7.476518
path-gold-hazard-lever,X5,0000,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",222.42999999999998,132.57700085639954,320.81,320.81,320.81,12.195584,0.358957,21.549765,7.573692
path-gold-hazard-lever,X5,0001,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",273.65000000000003,125.897531747818,302.43,302.43,302.43,12.195584,0.317042,21.193076,7.490597
path-gold-hazard-lever,X5,0002,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",273.65,123.2628562450409,300.41,300.41,300.41,12.195584,0.324592,21.678493,7.615875
path-gold-hazard-lever,X5,0003,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",219.64999999999998,131.312744140625,298.44,298.44,298.44,12.195584,0.331657,20.598332,7.815352
path-gold-hazard-lever,X5,0004,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",304.84999999999997,130.38993954658508,307.62,307.62,307.62,12.195584,0.319886,20.934316,7.979607
