setup,spec,seed,query,scratch_reward,scratch_time_s,targeted_reward,exhaustive_reward,hybrid_reward,decomp_time,targeted_time,exhaustive_time,hybrid_time
path-gold-hazard,X5,0000,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",195.04,134.23235368728638,145.26,161.15,176.14999999999998,28.780205,0.028322,13.021187,4.511579
path-gold-hazard,X5,0001,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",199.93,130.30097913742063,198.82,169.70999999999998,185.82,28.780205,0.009472,34.68575,4.502946
path-gold-hazard,X5,0002,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",171.14999999999998,126.89708709716795,167.36999999999998,158.26,167.36999999999998,28.780205,0.009573,26.660543,4.415564
path-gold-hazard,X5,0003,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",191.14999999999998,130.0763852596283,178.04,171.14999999999998,175.26,28.780205,0.009328,12.560082,4.469793
path-gold-hazard,X5,0004,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",196.15,128.4733808040619,188.04,176.14999999999998,176.14999999999998,28.780205,0.009342,62.718414,33.350658
path-gold-hazard-lever,X5,0000,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",210.23,132.57700085639954,165.06999999999996,173.85999999999996,207.81,12.084973,0.011604,12.669193,4.511003
path-gold-hazard-lever,X5,0001,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",262.65000000000003,125.897531747818,215.01999999999998,212.01999999999998,218.22999999999996,12.084973,0.009379,27.090515,4.476
path-gold-hazard-lever,X5,0002,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",262.65,123.2628562450409,184.07,251.86,181.07,12.084973,0.009239,33.498354,11.593613
path-gold-hazard-lever,X5,0003,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",207.64999999999998,131.312744140625,178.85999999999999,193.64999999999998,196.44,12.084973,0.009629,12.530422,4.51176
path-gold-hazard-lever,X5,0004,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",292.65,130.38993954658508,204.43999999999997,277.65,262.65000000000003,12.084973,0.009305,19.738069,4.595258
