setup,spec,seed,query,scratch_reward,scratch_time_s,targeted_reward,exhaustive_reward,hybrid_reward,decomp_time,targeted_time,exhaustive_time,hybrid_time
path-gold-hazard,X10,0000,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",211.32999999999998,274.6978986263275,224.70999999999998,224.70999999999998,224.70999999999998,18.727975,0.358805,20.958127,7.542971
path-gold-hazard,X10,0001,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",204.13,268.0672805309296,223.82,223.82,223.82,18.727975,0.31124,21.528735,7.593201
path-gold-hazard,X10,0002,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",188.52999999999997,266.12417483329773,205.42,205.42,205.42,18.727975,0.31956,21.536391,7.617934
path-gold-hazard,X10,0003,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",203.14999999999998,274.20332288742065,203.14999999999998,203.14999999999998,203.14999999999998,18.727975,0.317437,21.313759,7.49793
path-gold-hazard,X10,0004,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",208.35,269.6851782798767,212.53,212.53,212.53,18.727975,0.325524,21.531317,7.604809
path-gold-hazard-lever,X10,0000,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",303.64,272.1624777317047,320.81,320.81,320.81,18.260797,0.343517,21.32623,8.138963
path-gold-hazard-lever,X10,0001,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",221.63999999999996,267.24463725090027,302.43,302.43,302.43,18.260797,0.316617,21.278004,8.082843
path-gold-hazard-lever,X10,0002,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",204.04999999999998,260.95664858818054,300.41,300.41,300.41,18.260797,0.31529,21.490505,7.751007
path-gold-hazard-lever,X10,0003,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",219.64999999999998,275.64878582954407,298.44,298.44,298.44,18.260797,0.318151,21.431114,7.573624
path-gold-hazard-lever,X10,0004,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",303.64,274.3896675109863,307.62,307.62,307.62,18.260797,0.304159,21.865193,7.742174
