setup,spec,seed,query,scratch_reward,scratch_time_s,targeted_reward,exhaustive_reward,hybrid_reward,decomp_time,targeted_time,exhaustive_time,hybrid_time
path-gold,X1,0000,Find the fastest exit and collect as much gold as possible,90.81,9.264558792114258,110.81,110.81,110.81,15.161695,0.023753,10.048746,3.516295
path-gold,X1,0001,Find the fastest exit and collect as much gold as possible,110.80999999999999,10.993572235107422,133.79000000000002,133.79000000000002,133.79000000000002,15.161695,0.020155,10.009152,3.616311
path-gold,X1,0002,Find the fastest exit and collect as much gold as possible,98.78999999999999,9.751652002334597,122.78,122.78,122.78,15.161695,0.020505,10.048169,3.585577
path-gold,X1,0003,Find the fastest exit and collect as much gold as possible,98.78999999999999,9.148599624633787,123.79000000000002,123.79000000000002,123.79000000000002,15.161695,0.021206,10.162669,3.542621
path-gold,X1,0004,Find the fastest exit and collect as much gold as possible,91.82,10.74512004852295,127.78,127.78,127.78,15.161695,0.020199,9.918985,3.593098
path-gold-hazard,X1,0000,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",182.90999999999997,10.644699096679688,203.79999999999998,203.79999999999998,203.79999999999998,24.296835,0.025064,49.826321,10.681175
path-gold-hazard,X1,0001,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",211.91,12.127981424331663,228.57999999999998,228.57999999999998,228.57999999999998,24.296835,0.021589,49.856964,10.742175
path-gold-hazard,X1,0002,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",188.79999999999998,10.884215116500854,207.57999999999998,207.57999999999998,207.57999999999998,24.296835,0.02277,50.106501,10.74825
path-gold-hazard,X1,0003,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",191.79999999999998,10.140280961990356,215.69,215.69,215.69,24.296835,0.02244,50.32564,10.920841
path-gold-hazard,X1,0004,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",173.13,11.983392477035522,211.57999999999998,211.57999999999998,211.57999999999998,24.296835,0.022203,50.301229,10.875932
path-gold-hazard-lever,X1,0000,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",200.22,10.48181438446045,295.59000000000003,295.59000000000003,295.59000000000003,14.607634,0.025993,252.727633,32.730442
path-gold-hazard-lever,X1,0001,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",228.21999999999997,11.762128829956056,302.8,302.8,302.8,14.607634,0.022595,250.253675,32.541826
path-gold-hazard-lever,X1,0002,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",199.22,10.590471267700195,299.59000000000003,299.59000000000003,299.59000000000003,14.607634,0.02246,251.724473,32.493888
path-gold-hazard-lever,X1,0003,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",204.79999999999998,10.21723461151123,293.8,293.8,293.8,14.607634,0.022426,251.060627,32.641691
path-gold-hazard-lever,X1,0004,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",268.43,11.72518754005432,309.38,309.38,309.38,14.607634,0.022178,250.156971,32.545507
