k,avg_reward,avg_time_s,avg_hybrid_time_s,avg_decomp_time_s,avg_search_time_s,avg_combo_time_s,runs_used,runs_total,min_candidates
2,179.84366666666662,23.362078044149612,10.109153363439772,13.252924680709839,0.012719970279269749,10.096433393160503,90,90,5
3,180.30899999999994,46.25140477286445,32.99848009215461,13.252924680709839,0.012719970279269749,32.98576012187534,90,90,5
4,181.12300000000002,97.37506949106852,84.12214481035868,13.252924680709839,0.012719970279269749,84.10942484007941,90,90,5
